
eotfu5	1358893061686886400	OneHeartStopped	BegToDiffer	1612820332765	@ I beg to differ on that. Though it did take me a while to get back to writing. I’ve posted more solos the past two months then before.
uyjcuj	1358893064979366000	stateoftaegi	BloodBoil	1612820333523	Me writing :] when this subject makes my blood boil 😭
orh2uf	1358893370676891600	iamAtBot	ReinventTheWheel	1612820406450	Why reinvent the wheel? We've published some templates for your to use as inspiration to make the most of AtBot. Check it out. URL
kiqfd1	1358894260582568000	cymbelione	NeedlessToSay	1612820618599	needless to say, im "napping" for maybe 4 hours, waking up to read a writing, writing a discussion board, either reading 3 more readings, writing 3 more discussions and then voicethread for jpn...p-pog...
1vmp014	1358894640624238600	SeanMcQuaidCode	BringToTheTable	1612820709237	@ I’m actually in the process of writing a blog post where I actually do a series of scenarios to compare how much more or less efficient each of these “optimizations” bring to the table! I align with @ - don’t use these unless you absolutely need to (which is rare)
1c0xsrv	1358894877187145700	Jenofthemidwest	MoreTheMerrier	1612820765630	I am really very excited for Sunday. And if you have the spoons there's still some great prompts to be written. The more the merrier really.
2c5p8a	1358895101188137000	jrob1564	EndOfTheDay	1612820819041	@ @ @ I just send all my ETH to Vitalik's address at the end of the day, they write that number down, and send me back 2x
1dvsbde	1358895378783944700	JosephJ54553032	PlainAsDay	1612820885209	@ @ Wow. I've realized and said for close to a year now that everything they do is done with intent and it was a terrible mistake to write them off as disorganized morons, but I didn't see this. It's plain as day now that you've said it.
pax8i0	1358895675245748200	POETPhylDeGreat	OffTheTopOfMyHead	1612820955885	@ Here’s one I am writing off the top of my headI usually write them in my journal, but have written here insteadI’m tired of the noise,it clutters my mindI want to read more of what I love and leave the other stuff behind
1r6o8xv	1358896177132040200	heavenscalyx	JumpToConclusions	1612821075803	This one is inspired by Tansy’s twin from another set of parents (possible in this fantasy world), Lucerne, a hotheaded lack of impulse control who runs as fast as they jump to conclusions. URL
1cqi10m	1358896514949668900	soprano_toney	ManOfFewWords	1612821156260	I'm a man of few words but I'm overwhelmed at 1000 of you guys decided to follow me and stick with me .. the gaming and writing community are full of awesome people.. thank you all 👊❤🍀🙏 URL
6i0dsf	1358896667592777700	stilltheflicker	EndOfTheDay	1612821192467	some you are so rude to each other. it's stan twitter at the end of the day. take time and think about what you write. you might harm someone you don't even mean
1x85as7	1358896787243688000	CaptiveAudie	InThisDayAndAge,ThisDayAndAge	1612821220991	@ @ @ My favorites are the type that tell a relatively light-hearted story of people finding each other &amp; leave me feeling satiated &amp; glowing with 2nd hand happiness. And I'm a cynical old lady. Don't tell me there's no value or talent in writing that can do that in this day and age!
131tloh	1358897596161425400	rollingkimstone	LuckWouldHaveIt	1612821413866	So as luck would have it, I am VERY good with words but struggle with putting those words/sentences in a coherent narrative structure/flow. Restructuring paragraphs to make sense of my thoughts has become a fun thought/puzzle exercise during this thesis writing endeavor.
1yym7y1	1358897603384123400	EchoWave_Nyah	TimeAndTimeAgain	1612821415583	We have seen fiction do this time and time again through the fictional stories us, as people, create.Story books, shows with stories, movies with stories, video games with stories.All of these things, although fictional, can interact with people in multiple ways.(6/)
1a86xv7	1358897615430180900	jakekarmel	IvoryTower	1612821418597	@ I mean do you even Google before you write vomit on the internet or are you to sanctimonious in your ivory tower of bullshit to use the internet? URL
qqivxk	1358897899338358800	taesnootnoot	BrokenRecord	1612821486160	@ sound like a broken record but we really need to write down our motives i already forgotten about the tinder one omg - also yes!!
1c4rhw5	1358898659191046100	sofiaoh	KindSoul	1612821667378	@ An old mentor of mine passed away recently and I pulled out my notebook from his class and was heartened to find I had even sketched him and quoted him directly a few times. Hoping to write something up later about him (he was both a big deal + a kind soul).
